,Unnamed: 0,workerId,conditionCE,conditionHeadN,level,arrayTraining,seenInTraining,participantText,compositionalAnswer,encodingCorrected,encodingCompositional,correctness,consonants,prepMGloss,prepRGloss,Grammar_HInitial-noCE.m.Left.r.Atop,Grammar_HInitial-noCE.m.Atop.r.Left,Grammar_HInitial-noCE.m.Left.r.Under,Grammar_HInitial-noCE.m.Atop.r.Right,Grammar_HInitial-noCE.m.Right.r.Atop,Grammar_HInitial-noCE.m.Under.r.Left,Grammar_HInitial-noCE.m.Right.r.Under,Grammar_HInitial-noCE.m.Under.r.Right,Grammar_HFinal-noCE.m.Left.r.Atop,Grammar_HFinal-noCE.m.Atop.r.Left,Grammar_HFinal-noCE.m.Left.r.Under,Grammar_HFinal-noCE.m.Atop.r.Right,Grammar_HFinal-noCE.m.Right.r.Atop,Grammar_HFinal-noCE.m.Under.r.Left,Grammar_HFinal-noCE.m.Right.r.Under,Grammar_HFinal-noCE.m.Under.r.Right,Grammar_HInitial-CE.m.Left.r.Atop,Grammar_HInitial-CE.m.Atop.r.Left,Grammar_HInitial-CE.m.Left.r.Under,Grammar_HInitial-CE.m.Atop.r.Right,Grammar_HInitial-CE.m.Right.r.Atop,Grammar_HInitial-CE.m.Under.r.Left,Grammar_HInitial-CE.m.Right.r.Under,Grammar_HInitial-CE.m.Under.r.Right,Grammar_HFinal-CE.m.Left.r.Atop,Grammar_HFinal-CE.m.Atop.r.Left,Grammar_HFinal-CE.m.Left.r.Under,Grammar_HFinal-CE.m.Atop.r.Right,Grammar_HFinal-CE.m.Right.r.Atop,Grammar_HFinal-CE.m.Under.r.Left,Grammar_HFinal-CE.m.Right.r.Under,Grammar_HFinal-CE.m.Under.r.Right,Grammar_HInitial-Crossed-PreP.m.Left.r.Atop,Grammar_HInitial-Crossed-PreP.m.Atop.r.Left,Grammar_HInitial-Crossed-PreP.m.Left.r.Under,Grammar_HInitial-Crossed-PreP.m.Atop.r.Right,Grammar_HInitial-Crossed-PreP.m.Right.r.Atop,Grammar_HInitial-Crossed-PreP.m.Under.r.Left,Grammar_HInitial-Crossed-PreP.m.Right.r.Under,Grammar_HInitial-Crossed-PreP.m.Under.r.Right,Grammar_HInitial-Crossed-PostP.m.Left.r.Atop,Grammar_HInitial-Crossed-PostP.m.Atop.r.Left,Grammar_HInitial-Crossed-PostP.m.Left.r.Under,Grammar_HInitial-Crossed-PostP.m.Atop.r.Right,Grammar_HInitial-Crossed-PostP.m.Right.r.Atop,Grammar_HInitial-Crossed-PostP.m.Under.r.Left,Grammar_HInitial-Crossed-PostP.m.Right.r.Under,Grammar_HInitial-Crossed-PostP.m.Under.r.Right,Grammar_HFinal-Crossed-PreP.m.Left.r.Atop,Grammar_HFinal-Crossed-PreP.m.Atop.r.Left,Grammar_HFinal-Crossed-PreP.m.Left.r.Under,Grammar_HFinal-Crossed-PreP.m.Atop.r.Right,Grammar_HFinal-Crossed-PreP.m.Right.r.Atop,Grammar_HFinal-Crossed-PreP.m.Under.r.Left,Grammar_HFinal-Crossed-PreP.m.Right.r.Under,Grammar_HFinal-Crossed-PreP.m.Under.r.Right,Grammar_HFinal-Crossed-PostP.m.Left.r.Atop,Grammar_HFinal-Crossed-PostP.m.Atop.r.Left,Grammar_HFinal-Crossed-PostP.m.Left.r.Under,Grammar_HFinal-Crossed-PostP.m.Atop.r.Right,Grammar_HFinal-Crossed-PostP.m.Right.r.Atop,Grammar_HFinal-Crossed-PostP.m.Under.r.Left,Grammar_HFinal-Crossed-PostP.m.Right.r.Under,Grammar_HFinal-Crossed-PostP.m.Under.r.Right
911,11518,A119,branching,head initial,4,"[[[2,[1]],[2]],[3]]",False,kanka moy vinkin moy sosi moy vinkin,sosi rae vinkin rae sosi rae kanka,kmvmsmv,srvrsrk,0.28571428571428603,tskkmk,under,atop,krsrkrk,kmsrkmk,krkrsrk,kmkrsmk,krsrkrk,kmsrkmk,krkrsrk,kmkrsmk,krkrsrk,kmkrsmk,krsrkrk,kmsrkmk,krkrsrk,kmkrsmk,krsrkrk,kmsrkmk,kskkrrr,kmskmkmrm,kkskrrr,kmksmkmrm,kskkrrr,kmskmkmrm,kkskrrr,kmksmkmrm,rrrkksk,mrmkmksmk,rrrkskk,mrmkmskmk,rrrkksk,mrmkmksmk,rrrkskk,mrmkmskmk,rrrkskk,mrmkmskmk,rrrkksk,mrmkmksmk,rrrkskk,mrmkmskmk,rrrkksk,mrmkmksmk,kskkrrr,kmskmkmrm,kkskrrr,kmksmkmrm,kskkrrr,kmskmkmrm,kkskrrr,kmksmkmrm,rrrkksk,mrmkmksmk,rrrkskk,mrmkmskmk,rrrkksk,mrmkmksmk,rrrkskk,mrmkmskmk,kkskrrr,kmksmkmrm,kskkrrr,kmskmkmrm,kkskrrr,kmksmkmrm,kskkrrr,kmskmkmrm
912,11519,A119,branching,head initial,4,"[2,[0,[[2,3]]]]",False,tuntul moy vinkin moy sosi moy tuntul,sosi moy tuntul rae sosi moy kanka,tmvmsmt,smtrsmk,0.42857142857142894,tskkmk,under,atop,kmtrkmk,krtrkmk,kmkmkrt,krkmkrt,trkmkmk,trkmkrk,kmkrtmk,kmkrtrk,kmkrtmk,kmkrtrk,trkmkmk,trkmkrk,kmkmkrt,krkmkrt,kmtrkmk,krtrkmk,kmtkmkmrm,ktkmkmrr,kmkmktrmm,kkmktrmr,tkmkmkmmr,tkmkkrmr,kmktmkmrm,kmktkrrm,mrmkmktmk,rrmkmktk,mmrtkmkmk,rmrtkmkk,rmmkmkmkt,rmrkkmkt,mrmkmtkmk,mrrktkmk,mrmkmtkmk,rrmktkmk,mmrkmkmkt,rmrkkmkt,rmmtkmkmk,rmrtkmkk,mrmkmktmk,mrrkmktk,kmtkmkmrm,ktkmkrrm,kmkmktmmr,kkmktrmr,tkmkmkrmm,tkmkkrmr,kmktmkmrm,kmktkmrr,mrmkmktmk,mrrkmktk,rmmtkmkmk,rmrtkmkk,mmrkmkmkt,rmrkkmkt,mrmkmtkmk,rrmktkmk,kmktmkmrm,kmktkmrr,tkmkmkrmm,tkmkkrmr,kmkmktmmr,kkmktrmr,kmtkmkmrm,ktkmkrrm
913,11520,A119,branching,head initial,4,"[[[1,[1]],3],0]",False,kanka moy kanka rae sosi rae vinkin,vinkin rae vinkin moy kanka moy tuntul,kmkrsrv,vrvmkmt,0.0,tskkmk,under,atop,srsmkmt,smsmkrt,srsmkmt,smsmkrt,tmkmsrs,trkmsms,tmkmsrs,trkmsms,tmkmsrs,trkmsms,tmkmsrs,trkmsms,srsmkmt,smsmkrt,srsmkmt,smsmkrt,ssmkmtmmr,smsmktrmm,ssmkmtmmr,smsmktrmm,tmkmssrmm,tkmsmsmmr,tmkmssrmm,tkmsmsmmr,rmmtmkmss,mmrtkmsms,rmmtmkmss,mmrtkmsms,mmrssmkmt,rmmsmsmkt,mmrssmkmt,rmmsmsmkt,rmmssmkmt,mmrsmsmkt,rmmssmkmt,mmrsmsmkt,mmrtmkmss,rmmtkmsms,mmrtmkmss,rmmtkmsms,ssmkmtrmm,smsmktmmr,ssmkmtrmm,smsmktmmr,tmkmssmmr,tkmsmsrmm,tmkmssmmr,tkmsmsrmm,mmrtmkmss,rmmtkmsms,mmrtmkmss,rmmtkmsms,rmmssmkmt,mmrsmsmkt,rmmssmkmt,mmrsmsmkt,tmkmssmmr,tkmsmsrmm,tmkmssmmr,tkmsmsrmm,ssmkmtrmm,smsmktmmr,ssmkmtrmm,smsmktmmr
914,11521,A119,branching,head initial,4,"[[[1,[0]],[0]],1]",False,kanka moy tuntul moy tuntul rae kanka,vinkin rae tuntul rae tuntul moy vinkin,kmtmtrk,vrtrtmv,0.28571428571428603,tskkmk,under,atop,srtrtms,smtrtrs,trtrsms,trtmsrs,smsrtrt,srsmtrt,smtrtrs,srtrtms,smtrtrs,srtrtms,smsrtrt,srsmtrt,trtrsms,trtmsrs,srtrtms,smtrtrs,sttmsmrr,smttsrrm,ttsmsmrr,ttmssrmr,smsttrrm,ssmttrmr,smttsrrm,sttmsmrr,rrmsmtts,mrrsttms,rrmsmstt,rmrssmtt,mrrttsms,rmrttmss,mrrsttms,rrmsmtts,rrmsttms,mrrsmtts,rrmttsms,rmrttmss,mrrsmstt,rmrssmtt,mrrsmtts,rrmsttms,sttmsrrm,smttsmrr,ttsmsrrm,ttmssrmr,smsttmrr,ssmttrmr,smttsmrr,sttmsrrm,mrrsmtts,rrmsttms,mrrsmstt,rmrssmtt,rrmttsms,rmrttmss,rrmsttms,mrrsmtts,smttsmrr,sttmsrrm,smsttmrr,ssmttrmr,ttsmsrrm,ttmssrmr,sttmsrrm,smttsmrr
899,11506,A119,branching,head initial,3,"[[0,3],[1]]",True,vinkin moy kanka rae sosi,tuntul moy kanka rae vinkin,vmkrs,tmkrv,0.6,tskkmk,under,atop,tmkrs,tmkms,srtmk,smtmk,kmtrs,kmtms,srkmt,smkmt,srkmt,smkmt,kmtrs,kmtms,srtmk,smtmk,tmkrs,tmkms,tmksrm,tmkmsmm,stmkmr,smtmkmm,kmtsrm,kmtmsmm,skmtmr,smkmtmm,mrskmt,mmsmkmt,rmkmts,mmkmtms,mrstmk,mmsmtmk,rmtmks,mmtmkms,mrtmks,mmtmkms,rmstmk,mmsmtmk,mrkmts,mmkmtms,rmskmt,mmsmkmt,tmksmr,tmkmsmm,stmkrm,smtmkmm,kmtsmr,kmtmsmm,skmtrm,smkmtmm,rmskmt,mmsmkmt,mrkmts,mmkmtms,rmstmk,mmsmtmk,mrtmks,mmtmkms,skmtrm,smkmtmm,kmtsmr,kmtmsmm,stmkrm,smtmkmm,tmksmr,tmkmsmm
915,11522,A119,branching,head initial,4,"[[[3,3],[0]],[2]]",False,tuntul rae tuntul moy vinkin moy vinkin,kanka moy kanka rae tuntul rae sosi,trtmvmv,kmkrtrs,0.0,tskkmk,under,atop,kmkrtrk,krkrtmk,krtrkmk,kmtrkrk,kmkrtrk,krkrtmk,krtrkmk,kmtrkrk,krtrkmk,kmtrkrk,kmkrtrk,krkrtmk,krtrkmk,kmtrkrk,kmkrtrk,krkrtmk,kmktkrrm,kktmkmrr,ktkmkmrr,kmtkkrrm,kmktkrrm,kktmkmrr,ktkmkmrr,kmtkkrrm,mrrktkmk,rrmkmtkk,rrmkmktk,mrrkktmk,mrrktkmk,rrmkmtkk,rrmkmktk,mrrkktmk,mrrkmktk,rrmkktmk,rrmktkmk,mrrkmtkk,mrrkmktk,rrmkktmk,rrmktkmk,mrrkmtkk,kmktkmrr,kktmkrrm,ktkmkrrm,kmtkkmrr,kmktkmrr,kktmkrrm,ktkmkrrm,kmtkkmrr,rrmktkmk,mrrkmtkk,mrrkmktk,rrmkktmk,rrmktkmk,mrrkmtkk,mrrkmktk,rrmkktmk,ktkmkrrm,kmtkkmrr,kmktkmrr,kktmkrrm,ktkmkrrm,kmtkkmrr,kmktkmrr,kktmkrrm
907,11514,A119,branching,head initial,4,"[0,[[3,[[1,1]]]]]",False,kanka moy sosi moy kanka moy vinkin,tuntul rae kanka rae vinkin moy vinkin,kmsmkmv,trkrvmv,0.28571428571428603,tskkmk,under,atop,trkrsms,tmkmsrs,smsrkrt,srsmkmt,trkrsms,tmkmsrs,smsrkrt,srsmkmt,smsrkrt,srsmkmt,trkrsms,tmkmsrs,smsrkrt,srsmkmt,trkrsms,tmkmsrs,tksmsmrr,tmkmssrmm,smsktrrm,ssmkmtmmr,tksmsmrr,tmkmssrmm,smsktrrm,ssmkmtmmr,rrmsmskt,mmrssmkmt,mrrtksms,rmmtmkmss,rrmsmskt,mmrssmkmt,mrrtksms,rmmtmkmss,rrmtksms,mmrtmkmss,mrrsmskt,rmmssmkmt,rrmtksms,mmrtmkmss,mrrsmskt,rmmssmkmt,tksmsrrm,tmkmssmmr,smsktmrr,ssmkmtrmm,tksmsrrm,tmkmssmmr,smsktmrr,ssmkmtrmm,mrrsmskt,rmmssmkmt,rrmtksms,mmrtmkmss,mrrsmskt,rmmssmkmt,rrmtksms,mmrtmkmss,smsktmrr,ssmkmtrmm,tksmsrrm,tmkmssmmr,smsktmrr,ssmkmtrmm,tksmsrrm,tmkmssmmr
898,11505,A119,branching,head initial,3,"[[1,[2]],2]",True,vinkin moy vinkin rae sosi,vinkin rae sosi moy sosi,vmvrs,vrsms,0.4,tskkmk,under,atop,srkmk,srkrk,krsmk,krsrk,kmsrk,krsrk,kmkrs,krkrs,kmkrs,krkrs,kmsrk,krsrk,krsmk,krsrk,srkmk,srkrk,skmkmr,skkrr,ksmkmr,kskrr,kmskrm,kskrr,kmksrm,kksrr,rmkmks,rrkks,rmkmsk,rrksk,mrksmk,rrksk,mrskmk,rrskk,rmskmk,rrskk,rmksmk,rrksk,mrkmsk,rrksk,mrkmks,rrkks,skmkrm,skkrr,ksmkrm,kskrr,kmskmr,kskrr,kmksmr,kksrr,mrkmks,rrkks,mrkmsk,rrksk,rmksmk,rrksk,rmskmk,rrskk,kmksmr,kksrr,kmskmr,kskrr,ksmkrm,kskrr,skmkrm,skkrr
892,11499,A119,branching,head initial,3,"[[3,[3]],[2]]",True,kanka kanka moy sosi moy,kanka rae kanka rae sosi,kkmsm,krkrs,0.4,tskkmk,under,atop,krkrk,krkmk,krkrk,kmkrk,krkrk,krkmk,krkrk,kmkrk,krkrk,kmkrk,krkrk,krkmk,krkrk,kmkrk,krkrk,krkmk,kkkrr,kkmkmr,kkkrr,kmkkrm,kkkrr,kkmkmr,kkkrr,kmkkrm,rrkkk,rmkmkk,rrkkk,mrkkmk,rrkkk,rmkmkk,rrkkk,mrkkmk,rrkkk,rmkkmk,rrkkk,mrkmkk,rrkkk,rmkkmk,rrkkk,mrkmkk,kkkrr,kkmkrm,kkkrr,kmkkmr,kkkrr,kkmkrm,kkkrr,kmkkmr,rrkkk,mrkmkk,rrkkk,rmkkmk,rrkkk,mrkmkk,rrkkk,rmkkmk,kkkrr,kmkkmr,kkkrr,kkmkrm,kkkrr,kmkkmr,kkkrr,kkmkrm
896,11503,A119,branching,head initial,3,"[[1,[2]],[2]]",True,vinkin moy sosi moy sosi,vinkin rae sosi rae sosi,vmsms,vrsrs,0.6,tskkmk,under,atop,srkrk,srkmk,krkrs,kmkrs,srkrk,srkmk,krkrs,kmkrs,krkrs,kmkrs,srkrk,srkmk,krkrs,kmkrs,srkrk,srkmk,skkrr,skmkmr,kksrr,kmksrm,skkrr,skmkmr,kksrr,kmksrm,rrkks,rmkmks,rrskk,mrskmk,rrkks,rmkmks,rrskk,mrskmk,rrskk,rmskmk,rrkks,mrkmks,rrskk,rmskmk,rrkks,mrkmks,skkrr,skmkrm,kksrr,kmksmr,skkrr,skmkrm,kksrr,kmksmr,rrkks,mrkmks,rrskk,rmskmk,rrkks,mrkmks,rrskk,rmskmk,kksrr,kmksmr,skkrr,skmkrm,kksrr,kmksmr,skkrr,skmkrm
880,11487,A119,branching,head initial,1,0,True,sosi,tuntul,s,t,0.0,tskkmk,under,atop,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t,t
881,11488,A119,branching,head initial,1,2,True,kanka,sosi,k,s,0.0,tskkmk,under,atop,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k
882,11489,A119,branching,head initial,1,3,True,vinkin,kanka,v,k,0.0,tskkmk,under,atop,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k,k
897,11504,A119,branching,head initial,3,"[1,[3,[3]]]",True,tuntul moy vinkin rae vinkin,vinkin moy kanka rae kanka,tmvrv,vmkrk,0.4,tskkmk,under,atop,smkrk,srkrk,smkrk,srkrk,krkms,krkrs,krkms,krkrs,krkms,krkrs,krkms,krkrs,smkrk,srkrk,smkrk,srkrk,smkkrm,skkrr,smkkrm,skkrr,kkmsmr,kksrr,kkmsmr,kksrr,mrkkms,rrkks,mrkkms,rrkks,rmsmkk,rrskk,rmsmkk,rrskk,mrsmkk,rrskk,mrsmkk,rrskk,rmkkms,rrkks,rmkkms,rrkks,smkkmr,skkrr,smkkmr,skkrr,kkmsrm,kksrr,kkmsrm,kksrr,rmkkms,rrkks,rmkkms,rrkks,mrsmkk,rrskk,mrsmkk,rrskk,kkmsrm,kksrr,kkmsrm,kksrr,smkkmr,skkrr,smkkmr,skkrr
884,11491,A119,branching,head initial,2,"[1,3]",True,sosi moy sosi,vinkin moy kanka,sms,vmk,0.33333333333333304,tskkmk,under,atop,smk,srk,smk,srk,kms,krs,kms,krs,kms,krs,kms,krs,smk,srk,smk,srk,smkm,skr,smkm,skr,kmsm,ksr,kmsm,ksr,mkms,rks,mkms,rks,msmk,rsk,msmk,rsk,msmk,rsk,msmk,rsk,mkms,rks,mkms,rks,smkm,skr,smkm,skr,kmsm,ksr,kmsm,ksr,mkms,rks,mkms,rks,msmk,rsk,msmk,rsk,kmsm,ksr,kmsm,ksr,smkm,skr,smkm,skr
885,11492,A119,branching,head initial,2,"[0,[1]]",True,vinkin rae kanka,tuntul rae vinkin,vrk,trv,0.33333333333333304,tskkmk,under,atop,trs,tms,srt,smt,trs,tms,srt,smt,srt,smt,trs,tms,srt,smt,trs,tms,tsr,tmsm,str,smtm,tsr,tmsm,str,smtm,rst,msmt,rts,mtms,rst,msmt,rts,mtms,rts,mtms,rst,msmt,rts,mtms,rst,msmt,tsr,tmsm,str,smtm,tsr,tmsm,str,smtm,rst,msmt,rts,mtms,rst,msmt,rts,mtms,str,smtm,tsr,tmsm,str,smtm,tsr,tmsm
886,11493,A119,branching,head initial,2,"[3,[1]]",True,sosi moy vinkin,kanka rae vinkin,smv,krv,0.33333333333333304,tskkmk,under,atop,krs,kms,srk,smk,krs,kms,srk,smk,srk,smk,krs,kms,srk,smk,krs,kms,ksr,kmsm,skr,smkm,ksr,kmsm,skr,smkm,rsk,msmk,rks,mkms,rsk,msmk,rks,mkms,rks,mkms,rsk,msmk,rks,mkms,rsk,msmk,ksr,kmsm,skr,smkm,ksr,kmsm,skr,smkm,rsk,msmk,rks,mkms,rsk,msmk,rks,mkms,skr,smkm,ksr,kmsm,skr,smkm,ksr,kmsm
883,11490,A119,branching,head initial,2,"[3,3]",True,kanka sosi kanka,kanka moy kanka,ksk,kmk,0.666666666666667,tskkmk,under,atop,kmk,krk,kmk,krk,kmk,krk,kmk,krk,kmk,krk,kmk,krk,kmk,krk,kmk,krk,kmkm,kkr,kmkm,kkr,kmkm,kkr,kmkm,kkr,mkmk,rkk,mkmk,rkk,mkmk,rkk,mkmk,rkk,mkmk,rkk,mkmk,rkk,mkmk,rkk,mkmk,rkk,kmkm,kkr,kmkm,kkr,kmkm,kkr,kmkm,kkr,mkmk,rkk,mkmk,rkk,mkmk,rkk,mkmk,rkk,kmkm,kkr,kmkm,kkr,kmkm,kkr,kmkm,kkr
888,11495,A119,branching,head initial,2,"[3,[0]]",True,tuntul moy kanka,kanka rae tuntul,tmk,krt,0.0,tskkmk,under,atop,krt,kmt,trk,tmk,krt,kmt,trk,tmk,trk,tmk,krt,kmt,trk,tmk,krt,kmt,ktr,kmtm,tkr,tmkm,ktr,kmtm,tkr,tmkm,rtk,mtmk,rkt,mkmt,rtk,mtmk,rkt,mkmt,rkt,mkmt,rtk,mtmk,rkt,mkmt,rtk,mtmk,ktr,kmtm,tkr,tmkm,ktr,kmtm,tkr,tmkm,rtk,mtmk,rkt,mkmt,rtk,mtmk,rkt,mkmt,tkr,tmkm,ktr,kmtm,tkr,tmkm,ktr,kmtm
889,11496,A119,branching,head initial,2,"[2,[3]]",False,vinkin rae sosi,sosi rae kanka,vrs,srk,0.33333333333333304,tskkmk,under,atop,krk,kmk,krk,kmk,krk,kmk,krk,kmk,krk,kmk,krk,kmk,krk,kmk,krk,kmk,kkr,kmkm,kkr,kmkm,kkr,kmkm,kkr,kmkm,rkk,mkmk,rkk,mkmk,rkk,mkmk,rkk,mkmk,rkk,mkmk,rkk,mkmk,rkk,mkmk,rkk,mkmk,kkr,kmkm,kkr,kmkm,kkr,kmkm,kkr,kmkm,rkk,mkmk,rkk,mkmk,rkk,mkmk,rkk,mkmk,kkr,kmkm,kkr,kmkm,kkr,kmkm,kkr,kmkm
890,11497,A119,branching,head initial,2,"[0,[2]]",False,vinkin rae sosi,tuntul rae sosi,vrs,trs,0.666666666666667,tskkmk,under,atop,trk,tmk,krt,kmt,trk,tmk,krt,kmt,krt,kmt,trk,tmk,krt,kmt,trk,tmk,tkr,tmkm,ktr,kmtm,tkr,tmkm,ktr,kmtm,rkt,mkmt,rtk,mtmk,rkt,mkmt,rtk,mtmk,rtk,mtmk,rkt,mkmt,rtk,mtmk,rkt,mkmt,tkr,tmkm,ktr,kmtm,tkr,tmkm,ktr,kmtm,rkt,mkmt,rtk,mtmk,rkt,mkmt,rtk,mtmk,ktr,kmtm,tkr,tmkm,ktr,kmtm,tkr,tmkm
891,11498,A119,branching,head initial,2,"[0,1]",False,kanka moy sosi,tuntul moy vinkin,kms,tmv,0.33333333333333304,tskkmk,under,atop,tms,trs,tms,trs,smt,srt,smt,srt,smt,srt,smt,srt,tms,trs,tms,trs,tmsm,tsr,tmsm,tsr,smtm,str,smtm,str,msmt,rst,msmt,rst,mtms,rts,mtms,rts,mtms,rts,mtms,rts,msmt,rst,msmt,rst,tmsm,tsr,tmsm,tsr,smtm,str,smtm,str,msmt,rst,msmt,rst,mtms,rts,mtms,rts,smtm,str,smtm,str,tmsm,tsr,tmsm,tsr
893,11500,A119,branching,head initial,3,"[2,[3,[0]]]",True,sosi kanka moy vinkin moy,sosi moy kanka rae tuntul,skmvm,smkrt,0.4,tskkmk,under,atop,kmkrt,krkrt,kmtrk,krtrk,krtmk,krtrk,trkmk,trkrk,trkmk,trkrk,krtmk,krtrk,kmtrk,krtrk,kmkrt,krkrt,kmktrm,kktrr,kmtkrm,ktkrr,ktmkmr,ktkrr,tkmkmr,tkkrr,mrtkmk,rrtkk,mrktmk,rrktk,rmkmtk,rrktk,rmkmkt,rrkkt,mrkmkt,rrkkt,mrkmtk,rrktk,rmktmk,rrktk,rmtkmk,rrtkk,kmktmr,kktrr,kmtkmr,ktkrr,ktmkrm,ktkrr,tkmkrm,tkkrr,rmtkmk,rrtkk,rmktmk,rrktk,mrkmtk,rrktk,mrkmkt,rrkkt,tkmkrm,tkkrr,ktmkrm,ktkrr,kmtkmr,ktkrr,kmktmr,kktrr
894,11501,A119,branching,head initial,3,"[0,[[2,0]]]",True,vinkin rae sosi rae vinkin,tuntul rae sosi moy tuntul,vrsrv,trsmt,0.4,tskkmk,under,atop,trkmt,tmkrt,kmtrt,krtmt,trtmk,tmtrk,tmkrt,trkmt,tmkrt,trkmt,trtmk,tmtrk,kmtrt,krtmt,trkmt,tmkrt,tkmtmr,tmktrm,kmttrm,ktmtmr,ttmkmr,tmtkrm,tmktrm,tkmtmr,rmtmkt,mrtkmt,mrttmk,rmtmtk,rmkmtt,mrktmt,mrtkmt,rmtmkt,rmtkmt,mrtmkt,mrkmtt,rmktmt,rmttmk,mrtmtk,mrtmkt,rmtkmt,tkmtrm,tmktmr,kmttmr,ktmtrm,ttmkrm,tmtkmr,tmktmr,tkmtrm,mrtmkt,rmtkmt,rmttmk,mrtmtk,mrkmtt,rmktmt,rmtkmt,mrtmkt,tmktmr,tkmtrm,ttmkrm,tmtkmr,kmttmr,ktmtrm,tkmtrm,tmktmr
895,11502,A119,branching,head initial,3,"[[3,2],[0]]",True,tuntul rae vinkin moy sosi,kanka moy sosi rae tuntul,trvms,kmsrt,0.0,tskkmk,under,atop,kmkrt,kmkmt,trkmk,tmkmk,kmkrt,kmkmt,trkmk,tmkmk,trkmk,tmkmk,kmkrt,kmkmt,trkmk,tmkmk,kmkrt,kmkmt,kmktrm,kmkmtmm,tkmkmr,tmkmkmm,kmktrm,kmkmtmm,tkmkmr,tmkmkmm,mrtkmk,mmtmkmk,rmkmkt,mmkmkmt,mrtkmk,mmtmkmk,rmkmkt,mmkmkmt,mrkmkt,mmkmkmt,rmtkmk,mmtmkmk,mrkmkt,mmkmkmt,rmtkmk,mmtmkmk,kmktmr,kmkmtmm,tkmkrm,tmkmkmm,kmktmr,kmkmtmm,tkmkrm,tmkmkmm,rmtkmk,mmtmkmk,mrkmkt,mmkmkmt,rmtkmk,mmtmkmk,mrkmkt,mmkmkmt,tkmkrm,tmkmkmm,kmktmr,kmkmtmm,tkmkrm,tmkmkmm,kmktmr,kmkmtmm
887,11494,A119,branching,head initial,2,"[2,1]",True,sosi kanka moy,sosi moy vinkin,skm,smv,0.33333333333333304,tskkmk,under,atop,kms,krs,kms,krs,smk,srk,smk,srk,smk,srk,smk,srk,kms,krs,kms,krs,kmsm,ksr,kmsm,ksr,smkm,skr,smkm,skr,msmk,rsk,msmk,rsk,mkms,rks,mkms,rks,mkms,rks,mkms,rks,msmk,rsk,msmk,rsk,kmsm,ksr,kmsm,ksr,smkm,skr,smkm,skr,msmk,rsk,msmk,rsk,mkms,rks,mkms,rks,smkm,skr,smkm,skr,kmsm,ksr,kmsm,ksr
944,1166,A12,center-embedding,head final,4,"[3,[2,[2,[3]]]]",False,moy moy rae koto sasan sasan koto,moy moy rae koto sasan sasan koto,mmrkssk,mmrkssk,1.0,tvsk,horiz,atop,kmsmsrk,krsmsmk,kmsmkrs,krsmkms,srkmsmk,smkmsrk,krsmsmk,kmsmsrk,krsmsmk,kmsmsrk,srkmsmk,smkmsrk,kmsmkrs,krsmkms,kmsmsrk,krsmsmk,ksskrmm,ksskmmr,ksksrmm,ksksmmr,skskmmr,skskrmm,ksskmmr,ksskrmm,mmrkssk,rmmkssk,mmrsksk,rmmsksk,rmmksks,mmrksks,rmmkssk,mmrkssk,mmrkssk,rmmkssk,mmrksks,rmmksks,rmmsksk,mmrsksk,rmmkssk,mmrkssk,ksskmmr,ksskrmm,ksksmmr,ksksrmm,skskrmm,skskmmr,ksskrmm,ksskmmr,rmmkssk,mmrkssk,rmmsksk,mmrsksk,mmrksks,rmmksks,mmrkssk,rmmkssk,ksskrmm,ksskmmr,skskrmm,skskmmr,ksksmmr,ksksrmm,ksskmmr,ksskrmm
943,1165,A12,center-embedding,head final,3,"[[1,2],0]",False,rae rae toltul sasan vivin,moy moy toltul sasan vivin,rrtsv,mmtsv,0.6,tvsk,horiz,atop,vmsmt,vmsrt,vmsmt,vmsrt,tmsmv,trsmv,tmsmv,trsmv,tmsmv,trsmv,tmsmv,trsmv,vmsmt,vmsrt,vmsmt,vmsrt,vstmm,vstrm,vstmm,vstrm,tsvmm,tsvmr,tsvmm,tsvmr,mmtsv,mrtsv,mmtsv,mrtsv,mmvst,rmvst,mmvst,rmvst,mmvst,mrvst,mmvst,mrvst,mmtsv,rmtsv,mmtsv,rmtsv,vstmm,vstmr,vstmm,vstmr,tsvmm,tsvrm,tsvmm,tsvrm,mmtsv,rmtsv,mmtsv,rmtsv,mmvst,mrvst,mmvst,mrvst,tsvmm,tsvrm,tsvmm,tsvrm,vstmm,vstmr,vstmm,vstmr
